date,eth_total_rlusd,xrp_total_rlusd,grand_total_rlusd
2026-06-01,46776124.62,13037702.64,59813827.26
2026-06-02,43058645.23,12817709.35,55876354.57
2026-06-03,33352019.67,14032357.24,47384376.91
2026-06-04,31924562.51,8112933.50,40037496.01
2026-06-05,32651303.58,12804993.79,45456297.38
2026-06-06,68892337.74,6719583.83,75611921.58
2026-06-07,47896508.73,6803403.64,54699912.37
2026-06-08,45462623.92,5864351.25,51326975.17
2026-06-09,44623826.31,5697275.22,50321101.52
2026-06-10,45529626.42,7526223.37,53055849.79
2026-06-11,48171386.19,7162245.63,55333631.81
2026-06-12,50890570.53,7334860.84,58225431.37
2026-06-13,34343364.58,13890580.18,48233944.75
2026-06-14,35522846.08,14100784.94,49623631.02
2026-06-15,40938200.97,14871084.68,55809285.65
2026-06-16,22879456.85,11540666.28,34420123.13
2026-06-17,11636406.02,14104637.39,25741043.41
2026-06-18,21494267.60,16357445.29,37851712.89
2026-06-19,37024997.40,11171344.07,48196341.47
2026-06-20,28500470.12,13295335.51,41795805.63
2026-06-21,28896594.52,13548559.95,42445154.48
2026-06-22,32982111.53,13774589.28,46756700.81
2026-06-23,26680771.75,7772094.79,34452866.55
2026-06-24,30138680.67,17742106.23,47880786.90
2026-06-25,23102221.38,22048582.67,45150804.05
2026-06-26,12352088.94,26303789.58,38655878.52
2026-06-27,10626556.35,24216117.04,34842673.39
2026-06-28,9589916.05,26430574.74,36020490.79
2026-06-29,11313478.00,26828862.99,38142340.99
2026-06-30,16468140.01,26219899.26,42688039.27
2026-07-01,13625112.31,25383151.42,39008263.74
2026-07-02,28993548.07,12533439.83,41526987.90
2026-07-03,28063731.41,12376729.80,40440461.21
2026-07-04,18323641.10,19628639.51,37952280.61
2026-07-05,19073370.70,21820510.99,40893881.69
2026-07-06,22038558.73,22353438.02,44391996.75
2026-07-07,17980306.03,21821741.64,39802047.67
2026-07-08,15941688.94,18983022.07,34924711.01
2026-07-09,9987300.43,25630780.17,35618080.60
2026-07-10,15520706.19,24163385.41,39684091.61
2026-07-11,349855.72,36468595.20,36818450.92
2026-07-12,2121659.73,38992066.98,41113726.71
2026-07-13,5052402.50,39054050.78,44106453.28
2026-07-14,3097606.21,39597052.65,42694658.85
2026-07-15,15302584.02,15137993.94,30440577.96
2026-07-16,12447693.00,21791506.43,34239199.43
2026-07-17,15693550.68,86501172.03,102194722.71
2026-07-18,21199861.92,60036375.96,81236237.89
2026-07-19,13876378.76,65098575.36,78974954.12
2026-07-20,18402932.66,65232754.27,83635686.93
2026-07-21,20528673.16,68739638.48,89268311.63
2026-07-22,34895797.70,57785185.93,92680983.63
2026-07-23,36017085.38,64022206.20,100039291.58
2026-07-24,39675217.28,71429528.43,111104745.70
2026-07-25,44453889.68,85733337.14,130187226.82
